Year,Month,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004,3,0.6,863.6666666667,21,1.1795543621,516.3333333333,39,1496.3333333333,59,1153,502.3333333333,11.3333333333,46.866666158,0.6279623209
2004,3,0.6,909,31,1.5041752499,545,44,1472.75,58,1130.5,436,14.5750002861,36.0499992371,0.5947008519
2004,3,0.7,1066,8,1.1334305712,512,16,1918,28,1182,421.75,10.9999997616,56.1750001907,0.7365596002
2004,3,0.7,1051.75,16,1.6037678797,553.25,34,1738.25,48,1221.25,471.5,10.4500000477,58.125,0.735295083
2004,3,0.7,929.25,25,2.3250615471,607.5,-200,1375.5,-200,1364.25,825.75,13.6249997616,62.0500001907,0.9635549956
2004,3,0.7,933.25,26,2.5816785815,625,-200,1291.5,-200,1331.5,883.75,13.0500001907,57.9000005722,0.8666330082
2004,3,0.7,970.25,42,3.5812024591,687,-200,1195.5,-200,1350.5,968.5,13.875,53.875,0.8500589031
2004,3,0.7,938,26,2.9719262927,650.25,68,1251.25,71,1332.5,893,10.9499998093,62.0749998093,0.8112765628
2004,3,0.7,960.75,-200,2.5294405042,621.5,-200,1381.5,-200,1300.75,430.25,12.5250000954,67.4999980927,0.9768222346
2004,3,0.7,969.25,-200,2.3143202893,606.75,56,1372.5,61,1323.75,438,12.3499996662,66.3000011444,0.948706111
2004,3,0.7,947,-200,2.1303704322,593.6666666667,24,1300,36,1390,580.3333333333,14.4666665395,62.9666659037,1.0316166827
2004,3,0.7,940.5,47,2.525726643,621.25,51,1298.25,70,1329.75,714.25,12.9500000477,56.7749986649,0.8443615182
2004,3,0.7,902,38,1.7821586396,567.5,38,1450.25,54,1253,478.5,9.0999999046,68.1499996185,0.7890407879
2004,3,0.7,921.25,35,1.4218161095,538,-200,1564,-200,1224.25,417,9.4749999046,68.1750011444,0.8090593451
2004,3,0.7,924.5,40,2.246785505,602,45,1398,59,1263,562.25,7.9750001431,69.3999996185,0.7458585473
2004,3,0.7,894,28,1.2658352379,524.25,-200,1557,-200,1095,397.25,10.1000001431,47.8249988556,0.591311684
2004,3,0.7,898,33,1.6779019606,559.25,55,1441.25,70,1179.75,648.25,10.125,51.1999998093,0.6340770913
2004,3,0.7,866.25,33,1.804617397,569.25,41,1467.5,66,1055.25,435.5,11.6499998569,33.5999999046,0.4595395193
2004,3,0.7,899.75,32,1.7249591915,563,46,1402,73,1129.5,618,10.5,42.875,0.5441522454
2004,3,0.7,956,26,2.2857806757,604.75,52,1341.25,71,1116.75,691,12.9249999523,33.9249992371,0.5037261537
2004,3,0.8,888.75,21,1.8694446351,574.25,-200,1680.25,-200,1187,512,6.9750000238,62.2749996185,0.6261075278
2004,3,0.8,927,17,1.8304312258,571.25,56,1684.75,71,1222.75,486.5,6.75,62.9499998093,0.6234275392
2004,3,0.8,968,29,2.8106880371,640,43,1319.5,61,1385.75,866.75,14.75,59.2249994278,0.9879081108
2004,3,0.8,955.75,-200,3.1492096005,661.25,42,1259.75,53,1350.5,518,13.6250002384,55.125,0.8560188652
2004,3,0.8,966.25,-200,2.5294405042,621.5,63,1316.75,67,1342.25,570.75,13.5749998093,58.9750003815,0.9128844755
2004,3,0.8,1065,-200,3.5855121936,687.25,72,1142.5,62,1492.25,814.5,14.1500000954,66.2000026703,1.0629810612
2004,3,0.8,968.5,48,2.7449604638,635.75,47,1271,64,1309.25,684,14.0000002384,51.3249998093,0.8162997808
2004,3,0.8,953.75,32,1.6997929461,561,43,1495.75,57,1255.25,612.25,10.75,57.2249994278,0.7382145238
2004,3,0.8,951.5,52,3.0278593859,653.75,72,1209.75,73,1312.25,832.25,7.7250000238,72.4249992371,0.7655338359
2004,3,0.8,915.25,27,1.9220071329,578.25,32,1417,48,1212,665,8.2499998808,58.8750009537,0.6444011606
2004,3,0.8,869.75,54,2.5966872968,626,39,1325,52,1283.75,755.25,9.6000001431,58.5,0.6999687487
2004,3,0.8,949,25,1.4422204215,539.75,-200,1456.75,-200,1104,747.25,11.6749999523,38.6750001907,0.5298059292
2004,3,0.9,1094,24,2.3394161951,608.5,45,1579,60,1276,619.5,10.6500000954,59.6749992371,0.7648187257
2004,3,0.9,1028.25,27,2.4299844023,614.75,74,1383.5,67,1340,853,10.3999998569,67.6499986649,0.8529987303
2004,3,0.9,1017,27,3.4826893251,681.25,82,1245.75,64,1417.5,869.5,11.1749999523,68.4750003815,0.9081071231
2004,3,0.9,997.75,34,4.0502569792,713.5,70,1169.25,79,1383.25,991.5,14.125,55.5750007629,0.8909558056
2004,3,0.9,998.75,-200,3.594138291,687.75,48,1228.5,63,1380.25,593.5,12.5250000954,69.2999992371,1.0028708449
2004,3,0.9,982.25,73,3.7993883716,699.5,53,1204.25,72,1358.75,735,13.7999999523,51.3999996185,0.8071384129
2004,3,0.9,948.25,35,2.7180890958,634,43,1319.75,61,1326,715,11.2999999523,60.0249986649,0.802531715
2004,3,0.9,1004.75,64,4.0457173102,713.25,103,1130,78,1363,923.5,7.9750002623,71.75,0.7711145748
2004,3,0.9,934.75,25,2.437293146,615.25,54,1373,59,1249.75,717,6.3250000477,66.5999994278,0.6410221566
2004,3,0.9,887.75,40,2.1835933893,597.5,46,1396.25,58,1155.75,417.25,10.6250002384,47.9500007629,0.6135454304
2004,3,0.9,945.5,40,2.8535704981,642.75,76,1309,75,1231.75,759.5,9.8500001431,50.7000007629,0.6166750771
2004,3,0.9,972,66,2.7874143708,638.5,47,1222,70,1256.25,677.75,14.8250000477,40.7749996185,0.6833899678
2004,3,1,1136.25,31,3.3266769917,672,62,1453.25,76,1332.75,729.5,10.6749999523,60,0.7702384578
2004,3,1,912.75,26,2.6457215096,629.25,47,1564.5,53,1252.25,551.75,8.2499998808,60.8249988556,0.6657443604
2004,3,1,978.25,30,2.5779321994,624.75,62,1420.25,65,1274.25,819.25,8.2999999523,63.5749998093,0.6981546205
2004,3,1,1075.75,29,2.4813419346,618.25,44,1395.25,63,1333,872.25,11.5999999046,62.1500005722,0.8472636259
2004,3,1,1074.5,39,3.8659143376,703.25,88,1155.75,74,1463.75,1010,11.8999998569,67.4499988556,0.9375381769
2004,3,1,1064.25,44,5.4775991593,787,61,1056.75,88,1407,1115,14.75,52.0749998093,0.8686418772
2004,3,1,969.5,52,2.5145990215,620.5,42,1399.5,58,1249.25,478.5,11.0499999523,58.4250011444,0.7685562521
2004,3,1,940,57,3.1860104697,663.5,70,1289.5,79,1232,646,8.625,57.8249998093,0.6488249169
2004,3,1,926.5,55,3.8038081142,699.75,50,1285,53,1189.25,452,18.625,25.0250000954,0.5318540525
2004,3,1,899.75,55,2.8496606572,642.5,55,1338.75,74,1089.25,455,12.4249999523,31.8750004768,0.4583174183
2004,3,1,898.75,33,2.6495095616,629.5,57,1417.5,76,1050.25,425,13.125,26.75,0.4023168089
2004,3,1,972.5,50,2.6760905878,631.25,44,1287.25,64,1239.75,540.75,14.7500002384,40.8499994278,0.6814022247
2004,3,1,1037.5,57,3.521098406,683.5,85,1219.75,93,1279,687.5,14.4249999523,38.5,0.6290996907
2004,3,1.1,1144,29,3.2436181473,667,98,1489.75,82,1339,729.75,10.2000000477,59.5999994278,0.7417361629
2004,3,1.1,1078.25,44,4.4298629305,734,-200,1128.25,-200,1486.75,1020.5,12.5999999046,63.4749994278,0.9230174219
2004,3,1.1,1064,-200,4.3079318548,727.5,115,1160.5,91,1461.25,842,13.4500000477,58.3500003815,0.8960236854
2004,3,1.1,1061.75,-200,3.9959242929,710.5,55,1135.75,66,1460.75,700,14.9000000954,60.5500001907,1.0196493691
2004,3,1.1,1006.25,89,4.3312674141,728.75,65,1141.75,80,1369.5,795,14.4749996662,49.4499998093,0.8105945717
2004,3,1.1,1061,60,4.6298845295,744.5,103,1178.25,88,1428.5,616.25,9.7999999523,74.9999980927,0.9092547037
2004,3,1.1,997.25,74,4.6202743814,744,76,1150.5,79,1405,831.75,10.7750000954,62.5499992371,0.8082234802
2004,3,1.1,1038,55,3.7553115042,697,84,1260.25,82,1382.75,604.75,8.0750002861,78.9750003815,0.8544201663
2004,3,1.1,971.5,60,4.0684373546,714.5,66,1236.5,74,1257.5,643.5,9.8500001431,50.1750001907,0.6102893815
2004,3,1.1,1026,59,3.7905554595,699,-200,1191,-200,1291.5,851.25,7.8749998808,63.4749994278,0.6776614807
2004,3,1.1,976.25,42,3.2684417687,668.5,68,1270.25,65,1266.25,794.5,7.1500000954,62.875,0.6395822961
2004,3,1.1,983,63,3.6027732238,688.25,77,1250.75,62,1342,805.5,7.6750000715,66.3500003815,0.6989901525
2004,3,1.1,968.25,75,3.2808838246,669.25,67,1261,81,1245.5,538.25,12.3250000477,46.7999992371,0.6685970296
2004,3,1.1,959.75,65,3.2188752554,665.5,63,1266,80,1223.75,544,11.875,46.4750003815,0.6449479
2004,3,1.1,942,57,2.9322466013,647.75,63,1299.75,77,1204,499.5,11.5,46.6499996185,0.631851845
2004,3,1.1,929.5,58,3.9778829543,709.5,61,1278,82,1136.5,509.25,13.5499999523,28.4999995232,0.4404525394
2004,3,1.1,1054,86,5.3134016215,779,111,1079.5,98,1265.75,1012.75,11.2749998569,40.2749996185,0.5376019485
2004,3,1.2,1197,38,4.7410123625,750.25,89,1336.5,96,1393,949.25,11.1750001907,59.1750001907,0.7847716643
2004,3,1.2,1185,31,3.6243991898,689.5,62,1461.75,77,1332.75,732.5,11.3249998093,56.7749996185,0.7603119393
2004,3,1.2,1099.5,27,2.9085480094,646.25,53,1406.25,60,1267.5,835,7.2000000477,67.4750003815,0.6886721471
2004,3,1.2,1062,32,3.6504231463,691,53,1271.5,70,1376.75,929,11.4750001431,63.1000003815,0.8532753834
2004,3,1.2,1074.25,49,5.4055006164,783.5,79,1097.75,88,1483,1039.75,14.8250000477,60.5500011444,1.0148194658
2004,3,1.2,1071.5,47,5.4157754677,784,95,1065.5,90,1441.75,1113.75,15.4750001431,51.875,0.9058752804
2004,3,1.2,1154.5,-200,4.4298629305,734,122,1061.75,91,1528,1035,14.4749999046,65.2999992371,1.0704110398
2004,3,1.2,1090.25,-200,5.0961253479,768.25,86,1072,76,1537.75,699,15.6749999523,57.6499996185,1.0194861728
2004,3,1.2,1044.75,55,4.8532619532,756,70,1136.75,85,1410.5,901.5,11.0750000477,62.2249994278,0.8198751141
2004,3,1.2,1045.25,84,4.7507287214,750.75,79,1185.75,75,1403,799.75,10.375,59.2250003815,0.7455494117
2004,3,1.2,978.5,67,4.4676717493,736,75,1153.75,92,1323.5,768.5,9.9250001907,59.5249996185,0.7275838856
2004,3,1.2,973.5,61,3.6330650217,690,67,1207.5,83,1313.25,733.25,9.4000000954,62.6499996185,0.7398339473
2004,3,1.2,953,66,4.6010796309,743,79,1185.25,85,1252,689.5,9.6749999523,50.4250001907,0.6063281126
2004,3,1.2,1045.5,65,4.4629381564,735.75,75,1142.25,78,1312,838.25,8.125,62.1499996185,0.6746284144
2004,3,1.2,948.75,80,3.7993883716,699.5,78,1220.5,90,1177.5,553,13.125,34.3749995232,0.5169958921
2004,3,1.2,1052.5,68,3.8303725559,701.25,68,1147,81,1323.25,692.25,15.0500001907,44.5500001907,0.7573651898
2004,3,1.2,1029.25,84,4.8043201982,753.5,57,1097.5,79,1395.25,749,11.9749999046,58.4499998093,0.8163871398
2004,3,1.3,1171.25,50,5.1312321807,770,99,1161.75,70,1466.75,930,10.9750001431,66.5,0.8705229496
2004,3,1.3,1017,-200,4.1231866,717.5,74,1181.75,81,1382.25,650.25,13.8749997616,55.5500001907,0.8764876383
2004,3,1.3,997.25,-200,3.4106294993,677,-200,1252.25,-200,1358.5,590.75,13.8249998093,55.1000003815,0.8666203795
2004,3,1.3,1128.25,-200,4.5867059308,742.25,48,1143.75,48,1506.5,610.25,21.375,40.2749996185,1.0125968631
2004,3,1.3,999.6666666667,81,5.2523775221,776,81,1141.3333333333,96,1374.6666666667,896,11.9666668574,54.9000002543,0.7663906589
2004,3,1.3,1041.25,74,5.3696041697,781.75,78,1105.25,86,1424.5,911,11.0000002384,61.4499998093,0.8057247626
2004,3,1.3,972.5,79,4.5294029982,739.25,81,1186.25,87,1353.75,589,10.4250001907,61.1000003815,0.7716687736
2004,3,1.3,997,81,4.486627509,737,80,1167.75,89,1340.5,630.75,10.3250000477,59.8999996185,0.7515871247
2004,3,1.3,1026.5,95,5.9347300678,808.75,106,1081,88,1441.5,732.75,13.5999999046,52.9500007629,0.8209322729
2004,3,1.3,961.75,81,5.2523775221,776,89,1151.5,75,1279,549.75,14.1749999523,36.8250002861,0.592244433
2004,3,1.3,1009.5,96,5.1161738135,769.25,77,1109.75,69,1396,895.25,8.3000000715,64.8750019073,0.7124307169
2004,3,1.3,1024.25,91,4.6828924219,747.25,105,1136,75,1382,897.25,9.6500000954,58.5999984741,0.7034715294
2004,3,1.3,986.75,116,4.3032711935,727.25,73,1212.75,70,1244,501.75,18.1999998093,28.25,0.5848368338
2004,3,1.3,993,93,4.0502569792,713.5,77,1216.5,75,1237.75,515.5,17.0499997139,31.375,0.604755299
2004,3,1.3,1072.75,95,4.653947133,745.75,73,1071.5,84,1359.75,788.75,15.0250000954,46.1499996185,0.7833264781
2004,3,1.3,1028.75,81,3.8481259529,702.25,68,1180,82,1286.5,639.25,14.7750000954,41,0.6849883418
2004,3,1.4,987.75,40,4.1323417951,718,82,1395.5,91,1303.5,691.5,7.125,61.7999992371,0.6275973688
2004,3,1.4,1090.5,33,4.3593409969,730.25,109,1387,104,1360.75,748.25,6.4499999285,65.0750017166,0.6316281144
2004,3,1.4,1154.5,36,4.2105101361,722.25,101,1224.75,84,1413.75,959.25,11.5749998093,62.6749992371,0.853038223
2004,3,1.4,1156.75,51,6.3853200901,829.5,138,1029.5,80,1584,1083,11.375,70.5249996185,0.9475162243
2004,3,1.4,1141.5,67,6.8954033472,852.25,89,1008.25,101,1547.25,1164.25,15.2500002384,61.4499988556,1.0579554991
2004,3,1.4,1160.75,70,8.1234221199,904.25,92,946.75,107,1502,1240.25,14.2749998569,55.4499998093,0.8974730609
2004,3,1.4,1220.25,-200,5.3644844314,781.5,111,995.75,89,1559.75,1067.25,15.2999999523,62.1250009537,1.0729579563
2004,3,1.4,1023.75,79,4.7994376576,753.25,79,1131,91,1357,793,9.7000000477,61.6499996185,0.7425191023
2004,3,1.4,995.25,72,3.6417396749,690.5,91,1219,69,1321.25,836.25,7.4250000715,67.9750003815,0.7042758343
2004,3,1.4,994.5,103,5.6648618064,796,66,1159.25,72,1287,587.25,21.2249999046,23.1499996185,0.576774863
2004,3,1.4,1001.5,104,4.8043201982,753.5,70,1188.5,65,1259.75,469.75,18.0499997139,27.2750000954,0.5594339224
2004,3,1.4,1011.5,93,4.653947133,745.75,86,1174.25,86,1300.5,554.5,15.625,35,0.6169967172
2004,3,1.4,971,91,5.4569580236,786,92,1129.25,78,1271.5,546,16.5000002384,29.0249996185,0.5405616898
2004,3,1.4,961.5,155,5.2473057503,775.75,102,1131.25,81,1247,535.25,18.1500000954,26.0999999046,0.5386580627
2004,3,1.4,1050,105,5.1011343179,768.5,60,1078.25,79,1408.75,758.5,12.2750000954,57.7500009537,0.8223772243
2004,3,1.5,1178.75,43,4.9715837615,762,95,1327.5,92,1361.75,670.5,10.4999997616,57.9250001907,0.7351607796
2004,3,1.5,964.5,61,4.7070719192,748.5,94,1325.25,85,1332.5,821,8.1750001907,63.3999996185,0.6904844466
2004,3,1.5,1112.25,47,5.1362558287,770.25,139,1228,77,1408.5,939.75,6.3499999046,71.8999996185,0.6931985587
2004,3,1.5,1166.25,78,7.6647913875,885.25,139,1005.25,85,1550.5,1075,10.5750000477,63.25,0.8066818458
2004,3,1.5,1181.5,-200,6.7310364545,845,115,1054,99,1539,704.25,12.4249997139,64.8999996185,0.9331701762
2004,3,1.5,1095.25,-200,5.0711119747,767,74,1050.25,76,1547,818.25,15.8249998093,60.5249996185,1.0804773134
2004,3,1.5,1097.5,118,6.6635176156,842,117,1012.25,85,1440,827.75,15.5999999046,40.5999994278,0.7145901812
2004,3,1.5,1014.25,104,5.7015852746,797.75,99,1083,106,1376.25,909,10.5500001907,56.0750007629,0.7140073527
2004,3,1.5,1000.75,97,5.9829088207,811,99,1097.25,91,1308.25,777.75,9.8250000477,50.8249998093,0.6171828024
2004,3,1.5,1021,77,5.2473057503,775.75,94,1143.75,87,1306.5,753,9.4000003338,53.3500003815,0.6300102511
2004,3,1.5,1123.75,78,6.6635176156,842,98,1049.75,71,1418,935.5,7.1500000954,63.8999996185,0.6500088823
2004,3,1.5,966.25,147,5.4518029314,785.75,118,1111.25,98,1257.75,705.25,11.7750000954,37.5999994278,0.5184235105
2004,3,1.5,975,97,5.5969296828,792.75,119,1133.25,97,1254,637.25,13.8500001431,33.1500005722,0.522219547
2004,3,1.5,988.25,118,5.8070663278,802.75,123,1105,98,1292.5,658.25,15.5750002861,30.0750002861,0.5285094533
2004,3,1.5,983.5,139,5.5449121389,790.25,103,1131,92,1267.5,531.75,17.9000000954,26.8000006676,0.5446060568
2004,3,1.5,1012,128,5.7700542029,801,94,1098.25,90,1288.75,525,17.9749994278,27.0500001907,0.5522473355
2004,3,1.5,1097.75,101,4.6780628943,747,80,1094,91,1360,763.75,14.8500001431,43.5000009537,0.7302160577
2004,3,1.5,1060.25,109,5.4672744386,786.5,81,1044,91,1418,833,12.6499998569,57,0.8315308836
2004,3,1.6,1272.25,51,6.5182236691,835.5,131,1205,116,1490,1110,11.1500000954,59.5750007629,0.7887942319
2004,3,1.6,1236,61,5.2169189999,774.25,104,1301.25,95,1401.25,664,9.5249998569,66.7749986649,0.7950537885
2004,3,1.6,1183.75,43,5.3696041697,781.75,83,1176.25,82,1364.5,1042.75,8.7999999523,63.9249982834,0.7256153713
2004,3,1.6,1235.25,57,6.3522767111,828,118,1055.25,83,1527,1093.25,12.4249999523,60,0.8627151273
2004,3,1.6,1172.75,84,7.4868887152,877.75,160,1038,84,1556.25,1051.75,9.9000000954,65.1999998093,0.7956455571
2004,3,1.6,1134.25,-200,6.6186663723,840,103,1021.25,96,1501.25,917,11.9499998093,71.1000003815,0.991470559
2004,3,1.6,1090.25,-200,5.1916542032,773,86,1105.25,83,1428.5,761,13.8999998569,55.9499998093,0.8842068186
2004,3,1.6,1282.5,-200,6.7141295418,844.25,79,1035.5,76,1538.75,766.25,19.5000004768,42.3249998093,0.9492617278
2004,3,1.6,1202.5,-200,6.2426605024,823,89,1003.75,84,1525.5,903,15.5750000477,56.6249990463,0.9950738671
2004,3,1.6,1194.75,-200,6.529351623,836,-200,987,-200,1554.25,884.5,15.2000000477,57.9250001907,0.9941234113
2004,3,1.6,1242.75,-200,8.4189190813,916.25,63,962,61,1668.5,656.75,21.2249999046,39.2999992371,0.9791469569
2004,3,1.6,1089.75,-200,7.2524616875,867.75,124,1025.75,87,1509,765.75,18.5499997139,36.6999998093,0.7763806753
2004,3,1.6,1065.5,116,6.8271844408,849.25,130,1039,98,1468,828.5,11,64.4250001907,0.8447325849
2004,3,1.6,1122,88,6.652292699,841.5,132,1014.75,90,1438,974.25,8.5000001192,66.2749996185,0.7375123781
2004,3,1.6,1107.75,125,6.7875236889,847.5,102,1022.75,96,1420.75,1003,11.8499999046,50.8249998093,0.704175163
2004,3,1.6,1009.75,146,6.4571646464,832.75,91,1070,83,1332.25,561,17.4749999046,27.875,0.5517006196
2004,3,1.6,1019.5,154,5.6910825327,797.25,95,1065.75,99,1302,688.75,13.2250001431,37.875,0.5732960988
2004,3,1.6,1084.5,130,6.1664136631,819.5,99,1059.75,81,1325,698.75,18.1249995232,30.5500001907,0.6295234046
2004,3,1.7,1233.25,77,6.3357824372,827.25,112,1218,98,1445.75,859.75,10.7999999523,58.3500003815,0.7551830827
2004,3,1.7,1080.25,55,5.8548015143,805,122,1253.5,97,1375,815.5,8.3250002861,58.5250005722,0.6437636096
2004,3,1.7,1171.75,46,5.3901039395,782.75,-200,1178.5,-200,1379.75,995.5,7.8000000715,67.5249996185,0.7173121149
2004,3,1.7,1200.5,88,9.0873456266,942.75,130,935,117,1559.75,1361.75,16.7000002861,48.9250001907,0.9226499255
2004,3,1.7,1204.75,85,8.6309470111,924.75,132,922,107,1546.5,1314.25,15.5249998569,52.9250001907,0.9271282298
2004,3,1.7,1261.5,-200,8.276765149,910.5,95,948.25,99,1545.25,1061.5,13.0500001907,64.1750001907,0.9605556635
2004,3,1.7,1126.75,-200,5.7911916346,802,104,1064,92,1446.5,837,13.7750000954,57.9499998093,0.9085437054
2004,3,1.7,1304.75,-200,7.6350173007,884,95,980,87,1573.25,927.25,19.5000004768,42.25,0.947579638
2004,3,1.7,1300.75,-200,7.1133341976,861.75,123,913.5,93,1633,1114,16.3250002861,59.0000009537,1.0868383648
2004,3,1.7,1161.25,-200,6.074365814,815.25,93,995.25,86,1582.25,909,16.1250004768,60.0250005722,1.0919379225
2004,3,1.7,1089,87,7.6350173007,884,89,1006,101,1486.5,974.5,12.6000001431,54.2000007629,0.7881456666
2004,3,1.7,1137.75,118,7.9591868081,897.5,136,950,88,1505.25,965.5,15.0749995708,44.25,0.7534549507
2004,3,1.7,1117.5,144,8.6874480399,927,119,958.75,96,1477,824.5,16.8749995232,34.5999994278,0.6596749225
2004,3,1.7,1046.75,97,5.9400750602,809,118,1064.25,108,1435,766,10.0500001907,66.9249992371,0.8247612752
2004,3,1.7,1047.5,88,5.4775991593,787,93,1098.25,97,1372.75,834.5,9.625,61.1000003815,0.7322799198
2004,3,1.7,1135.25,95,6.3357824372,827.25,87,1012.75,79,1394.5,1070,9.3000001907,62.1750001907,0.7294090479
2004,3,1.7,1196.5,117,6.5404876682,836.5,144,956.75,118,1498,964.5,11.4500000477,70.9750003815,0.958211479
2004,3,1.8,1207.25,84,7.504598795,878.5,103,1103.5,102,1489.5,872.25,21.4249997139,30.1999998093,0.7615918768
2004,3,1.8,1238.75,66,7.3575603749,872.25,104,985,99,1546.5,1250.25,14.8250000477,54.6750011444,0.9163543255
2004,3,1.8,1239,73,6.9182072162,853.25,106,1010.25,93,1543.25,1173.75,14.0499999523,57,0.9094489368
2004,3,1.8,1223.75,66,6.9581911958,855,108,998.25,88,1565.75,1148.75,13.3500001431,61.3499994278,0.9360857031
2004,3,1.8,1279.25,-200,7.2990926258,869.75,106,911.25,81,1646.25,1000,18.8749995232,49.5749998093,1.0699727286
2004,3,1.8,1267,-200,7.6052926326,882.75,103,952.75,82,1616.75,905.75,19.375,46.0500001907,1.024916621
2004,3,1.8,1074.25,-200,6.9410431759,854.25,115,1031.75,83,1483.5,772,17.9000000954,38.3500003815,0.7793149987
2004,3,1.8,1162.5,128,8.4748252569,918.5,128,921.5,84,1530.25,1075.5,11.0749998093,50.4999990463,0.6653867774
2004,3,1.8,1113.5,151,7.6946148645,886.5,92,1020.25,86,1438,768.25,21.3000001907,26.4000000954,0.6607430779
2004,3,1.8,1093.25,115,5.5086231334,788.5,105,1101.75,103,1329,787.5,13.4250001907,43.1999988556,0.6623204319
2004,3,1.9,1285.5,63,7.2699333575,868.5,146,1162.25,112,1536.75,799,8.2999998331,76.4250011444,0.8392680678
2004,3,1.9,1043.75,53,6.3742975097,829,133,1247.25,110,1378.25,831.5,7.7250001431,59.6749992371,0.6307660603
2004,3,1.9,1196.25,67,7.3751394675,873,139,1071.25,97,1463.25,1144.25,9.1499998569,63.9000015259,0.7422764129
2004,3,1.9,1257.75,99,8.1601129246,905.75,112,1081.25,107,1511,900.25,21.9250001907,28.9500002861,0.7524589546
2004,3,1.9,1238.75,-200,6.7931834786,847.75,102,980.5,80,1567.5,822.25,20.7750000954,41.6250009537,1.0091328441
2004,3,1.9,1208,-200,6.9125032399,853,98,1059.75,89,1506.25,646.75,20.2749996185,38.0250005722,0.894213941
2004,3,1.9,1195,-200,7.977364527,898.25,122,933.25,105,1594.25,1098,16.9750003815,51.6750011444,0.9913907227
2004,3,1.9,1211,-200,7.9289299063,896.25,112,920.25,93,1624,1066.25,16.3999996185,55.1000003815,1.0197771425
2004,3,1.9,1109.5,-200,9.6455722277,964.25,122,947.25,90,1576.5,828.75,21,29.5500001907,0.7262509901
2004,3,1.9,1112,136,10.0634765276,980,131,923.75,99,1588.5,900.25,14.0999999046,49.8000001907,0.7971041564
2004,3,1.9,1064.5,151,9.3452210104,952.75,107,961.75,97,1513.75,789.75,13.6500000954,49.4750013351,0.769509151
2004,3,1.9,1037.75,168,8.1784847557,906.5,106,976,81,1492.25,723.25,14.1749999523,46.25,0.7438236202
